iter	Passed	Remaining
220	1375	4847
221	1381	4841
222	1388	4837
223	1396	4839
224	1403	4835
225	1410	4829
226	1417	4827
227	1424	4822
228	1431	4818
229	1437	4811
230	1443	4804
231	1448	4796
232	1453	4786
233	1460	4780
234	1465	4770
235	1473	4769
236	1479	4763
237	1484	4754
238	1490	4746
239	1495	4736
240	1500	4725
241	1507	4720
242	1512	4711
243	1517	4700
244	1523	4694
245	1528	4684
246	1533	4675
247	1539	4669
248	1545	4660
249	1550	4650
250	1555	4642
251	1560	4632
252	1565	4622
253	1571	4615
254	1576	4606
255	1581	4596
256	1587	4590
257	1592	4580
258	1597	4569
259	1601	4559
260	1607	4551
261	1612	4541
262	1617	4532
263	1622	4523
264	1626	4512
265	1631	4502
266	1637	4495
267	1642	4485
268	1646	4475
269	1652	4467
270	1656	4457
271	1661	4447
272	1667	4439
273	1671	4430
274	1676	4419
275	1681	4411
276	1686	4402
277	1691	4392
278	1695	4381
279	1700	4373
280	1706	4365
281	1710	4355
282	1716	4347
283	1720	4337
284	1724	4327
285	1729	4317
286	1734	4308
287	1739	4299
288	1744	4292
289	1749	4284
290	1754	4274
291	1758	4264
292	1764	4258
293	1770	4250
294	1775	4243
295	1781	4236
296	1786	4228
297	1790	4218
298	1812	4248
299	1816	4238
300	1820	4228
301	1826	4221
302	1832	4214
303	1837	4205
304	1844	4203
305	1851	4199
306	1857	4194
307	1864	4188
308	1869	4180
309	1875	4173
310	1881	4168
311	1886	4160
312	1892	4152
313	1897	4145
314	1902	4137
315	1907	4128
316	1912	4120
317	1917	4112
318	1922	4103
319	1927	4095
320	1932	4087
321	1937	4079
322	1942	4072
323	1947	4063
324	1952	4056
325	1957	4047
326	1962	4039
327	1967	4030
328	1971	4021
329	1976	4012
330	1980	4003
331	1984	3993
332	1989	3985
333	1994	3976
334	1998	3967
335	2003	3958
336	2007	3949
337	2011	3940
338	2016	3931
339	2020	3922
340	2025	3913
341	2029	3905
342	2033	3895
343	2038	3886
344	2042	3878
345	2047	3870
346	2052	3862
347	2056	3853
348	2060	3844
349	2065	3836
350	2070	3828
351	2074	3819
352	2079	3810
353	2083	3801
354	2087	3793
355	2092	3784
356	2096	3775
357	2100	3767
358	2105	3759
359	2110	3751
360	2115	3744
361	2120	3738
362	2125	3730
363	2130	3722
364	2136	3716
365	2141	3709
366	2147	3703
367	2151	3695
368	2156	3687
369	2161	3680
370	2166	3673
371	2170	3664
372	2175	3656
373	2179	3648
374	2184	3640
375	2188	3632
376	2193	3624
377	2198	3617
378	2203	3610
379	2207	3601
380	2211	3593
381	2217	3587
382	2221	3579
383	2226	3571
384	2232	3566
385	2237	3559
386	2242	3552
387	2247	3545
388	2251	3537
389	2257	3530
390	2262	3524
391	2269	3519
392	2275	3514
393	2282	3509
394	2288	3505
395	2295	3500
396	2302	3497
397	2309	3493
398	2315	3487
399	2321	3482
400	2327	3477
401	2333	3470
402	2338	3464
403	2346	3461
404	2351	3454
405	2357	3448
406	2362	3442
407	2367	3435
408	2372	3428
409	2377	3421
410	2381	3413
411	2386	3405
412	2391	3398
413	2395	3391
414	2400	3383
415	2404	3376
416	2409	3369
417	2414	3361
418	2418	3354
419	2424	3348
420	2428	3340
421	2433	3332
422	2437	3325
423	2442	3317
424	2446	3310
425	2451	3303
426	2456	3295
427	2460	3288
428	2465	3280
429	2469	3273
430	2474	3266
431	2478	3258
432	2482	3250
433	2487	3244
434	2492	3237
435	2496	3229
436	2501	3223
437	2507	3216
438	2513	3211
439	2518	3205
440	2524	3200
441	2530	3194
442	2535	3188
443	2540	3180
444	2544	3173
445	2549	3166
446	2554	3159
447	2558	3152
448	2563	3145
449	2567	3138
450	2572	3131
451	2576	3124
452	2581	3117
453	2586	3111
454	2591	3104
455	2597	3099
456	2603	3093
457	2608	3086
458	2613	3080
459	2618	3074
460	2623	3067
461	2628	3061
462	2634	3055
463	2639	3048
464	2643	3041
465	2648	3034
466	2652	3027
467	2657	3020
468	2661	3013
469	2666	3006
470	2670	2999
471	2675	2992
472	2679	2985
473	2684	2978
474	2688	2971
475	2693	2964
476	2697	2957
477	2701	2950
478	2706	2944
479	2711	2937
480	2715	2929
481	2720	2923
482	2725	2917
483	2730	2911
484	2737	2906
485	2743	2901
486	2749	2896
487	2756	2891
488	2762	2886
489	2768	2880
490	2773	2874
491	2779	2869
492	2784	2863
493	2790	2857
494	2796	2852
495	2801	2846
496	2806	2840
497	2812	2834
498	2817	2828
499	2822	2822
500	2827	2816
501	2832	2810
502	2838	2804
503	2844	2799
504	2849	2793
505	2855	2788
506	2861	2782
507	2867	2777
508	2874	2772
509	2882	2769
510	2888	2763
511	2893	2758
512	2898	2751
513	2904	2745
514	2909	2740
515	2915	2734
516	2921	2729
517	2926	2723
518	2932	2717
519	2937	2711
520	2942	2705
521	2948	2699
522	2953	2693
523	2960	2689
524	2965	2682
525	2969	2676
526	2974	2669
527	2979	2663
528	2984	2657
529	2989	2650
530	2993	2644
531	2998	2637
532	3002	2630
533	3007	2624
534	3011	2617
535	3015	2610
536	3020	2604
537	3025	2597
538	3029	2591
539	3035	2585
540	3039	2578
541	3043	2572
542	3048	2565
543	3053	2559
544	3058	2553
545	3062	2546
546	3067	2540
547	3071	2533
548	3076	2527
549	3081	2521
550	3086	2515
551	3091	2508
552	3096	2502
553	3101	2496
554	3106	2491
555	3112	2485
556	3116	2478
557	3121	2472
558	3126	2466
559	3131	2460
560	3135	2453
561	3139	2447
562	3144	2440
563	3149	2434
564	3153	2427
565	3157	2421
566	3162	2414
567	3166	2408
568	3171	2402
569	3176	2395
570	3180	2389
571	3186	2384
572	3191	2378
573	3197	2373
574	3203	2368
575	3209	2362
576	3214	2356
577	3220	2351
578	3225	2345
579	3231	2339
580	3236	2334
581	3242	2328
582	3247	2322
583	3252	2316
584	3257	2310
585	3261	2304
586	3266	2297
587	3270	2291
588	3275	2285
589	3280	2279
590	3285	2273
591	3290	2267
592	3295	2261
593	3300	2255
594	3306	2250
595	3312	2245
596	3316	2239
597	3321	2233
598	3327	2227
599	3331	2221
600	3336	2215
601	3343	2210
602	3349	2205
603	3355	2199
604	3362	2195
605	3368	2189
606	3374	2184
607	3383	2181
608	3392	2177
609	3397	2172
610	3403	2167
611	3410	2162
612	3415	2156
613	3421	2150
614	3426	2145
615	3431	2138
616	3436	2133
617	3441	2127
618	3446	2121
619	3450	2114
620	3455	2109
621	3460	2102
622	3465	2096
623	3469	2090
624	3474	2084
625	3479	2078
626	3483	2072
627	3488	2066
628	3492	2060
629	3497	2054
630	3502	2047
631	3506	2041
632	3511	2035
633	3515	2029
634	3520	2023
635	3525	2017
636	3529	2011
637	3534	2005
638	3538	1999
639	3543	1993
640	3548	1987
641	3552	1981
642	3557	1974
643	3561	1968
644	3566	1962
645	3571	1956
646	3575	1950
647	3580	1944
648	3585	1939
649	3589	1932
650	3593	1926
651	3598	1920
652	3602	1914
653	3607	1908
654	3612	1902
655	3617	1896
656	3622	1891
657	3627	1885
658	3632	1879
659	3638	1874
660	3645	1869
661	3651	1864
662	3656	1858
663	3663	1853
664	3669	1848
665	3674	1842
666	3679	1837
667	3684	1831
668	3689	1825
669	3693	1819
670	3698	1813
671	3703	1807
672	3708	1801
673	3712	1795
674	3716	1789
675	3722	1783
676	3727	1778
677	3733	1773
678	3737	1767
679	3742	1761
680	3746	1755
681	3751	1749
682	3755	1743
683	3760	1737
684	3765	1731
685	3769	1725
686	3774	1719
687	3778	1713
688	3783	1707
689	3787	1701
690	3792	1695
691	3796	1689
692	3801	1683
693	3805	1677
694	3810	1672
695	3815	1666
696	3819	1660
697	3824	1654
698	3829	1649
699	3835	1643
700	3840	1638
701	3846	1632
702	3851	1627
703	3856	1621
704	3861	1615
705	3867	1610
706	3873	1605
707	3878	1599
708	3884	1594
709	3889	1588
710	3894	1582
711	3898	1577
712	3904	1571
713	3909	1565
714	3914	1560
715	3919	1554
716	3924	1549
717	3929	1543
718	3935	1538
719	3940	1532
720	3945	1526
721	3950	1521
722	3955	1515
723	3960	1509
724	3965	1504
725	3971	1498
726	3975	1492
727	3980	1487
728	3985	1481
729	3989	1475
730	3994	1469
731	3998	1464
732	4003	1458
733	4007	1452
734	4012	1446
735	4016	1440
736	4021	1434
737	4025	1429
738	4030	1423
739	4034	1417
740	4039	1411
741	4044	1406
742	4049	1400
743	4055	1395
744	4061	1390
745	4066	1384
746	4072	1379
747	4078	1374
748	4084	1368
749	4091	1363
750	4097	1358
751	4103	1353
752	4109	1347
753	4115	1342
754	4121	1337
755	4126	1331
756	4131	1326
757	4135	1320
758	4140	1314
759	4144	1308
760	4149	1303
761	4153	1297
762	4158	1291
763	4163	1286
764	4169	1280
765	4175	1275
766	4180	1269
767	4185	1264
768	4190	1258
769	4195	1253
770	4200	1247
771	4206	1242
772	4211	1236
773	4217	1231
774	4222	1225
775	4227	1220
776	4233	1215
777	4239	1209
778	4245	1204
779	4250	1198
780	4255	1193
781	4261	1187
782	4266	1182
783	4271	1176
784	4277	1171
785	4281	1165
786	4286	1160
787	4290	1154
788	4295	1148
789	4299	1142
790	4303	1137
791	4308	1131
792	4313	1126
793	4318	1120
794	4323	1114
795	4327	1109
796	4332	1103
797	4336	1097
798	4341	1092
799	4346	1086
800	4350	1080
801	4354	1075
802	4359	1069
803	4363	1063
804	4368	1058
805	4372	1052
806	4377	1046
807	4382	1041
808	4387	1035
809	4393	1030
810	4399	1025
811	4406	1020
812	4411	1014
813	4416	1009
814	4422	1003
815	4432	999
816	4454	997
817	4468	994
818	4483	990
819	4508	989
820	4515	984
821	4520	978
822	4526	973
823	4533	968
824	4553	965
825	4563	961
826	4569	955
827	4574	950
828	4580	944
829	4585	939
830	4591	933
831	4596	928
832	4602	922
833	4606	916
834	4610	911
835	4615	905
836	4619	899
837	4624	893
838	4629	888
839	4633	882
840	4638	876
841	4642	871
842	4647	865
843	4651	859
844	4656	854
845	4660	848
846	4664	842
847	4670	837
848	4675	831
849	4680	825
850	4684	820
851	4689	814
852	4694	809
853	4699	803
854	4703	797
855	4707	791
856	4712	786
857	4717	780
858	4721	775
859	4726	769
860	4730	763
861	4736	758
862	4740	752
863	4746	747
864	4751	741
865	4756	735
866	4761	730
867	4765	724
868	4770	719
869	4776	713
870	4781	708
871	4787	702
872	4793	697
873	4798	691
874	4803	686
875	4809	680
876	4814	675
877	4820	669
878	4825	664
879	4831	658
880	4836	653
881	4842	647
882	4848	642
883	4854	637
884	4860	631
885	4866	626
886	4872	620
887	4877	615
888	4883	609
889	4889	604
890	4894	598
891	4900	593
892	4907	588
893	4924	583
894	4935	579
895	4942	573
896	4947	568
897	4954	562
898	4961	557
899	4968	552
900	4977	546
901	4985	541
902	4994	536
903	5003	531
904	5010	525
905	5018	520
906	5024	515
907	5031	509
908	5038	504
909	5046	499
910	5052	493
911	5059	488
912	5068	482
913	5074	477
914	5079	471
915	5086	466
916	5092	460
917	5100	455
918	5107	450
919	5116	444
920	5123	439
921	5131	434
922	5137	428
923	5141	422
924	5148	417
925	5152	411
926	5158	406
927	5164	400
928	5170	395
929	5176	389
930	5183	384
931	5188	378
932	5194	373
933	5199	367
934	5205	361
935	5212	356
936	5216	350
937	5221	345
938	5226	339
939	5230	333
940	5234	328
941	5239	322
942	5243	316
943	5248	311
944	5252	305
945	5257	300
946	5261	294
947	5265	288
948	5270	283
949	5274	277
950	5279	272
951	5283	266
952	5288	260
953	5292	255
954	5297	249
955	5301	244
956	5306	238
957	5311	232
958	5315	227
959	5320	221
960	5324	216
961	5330	210
962	5335	204
963	5339	199
964	5344	193
965	5349	188
966	5354	182
967	5358	177
968	5363	171
969	5369	166
970	5375	160
971	5380	154
972	5385	149
973	5389	143
974	5394	138
975	5398	132
976	5402	127
977	5407	121
978	5411	116
979	5416	110
980	5420	104
981	5425	99
982	5429	93
983	5434	88
984	5438	82
985	5443	77
986	5448	71
987	5452	66
988	5457	60
989	5462	55
990	5467	49
991	5472	44
992	5478	38
993	5484	33
994	5490	27
995	5496	22
996	5501	16
997	5507	11
998	5513	5
999	5519	0
