iter	Logloss
146	0.2031746382
147	0.2026607372
148	0.2019422084
149	0.2012987647
150	0.2002574151
151	0.1998584575
152	0.1991824083
153	0.1987076277
154	0.198095722
155	0.1976605639
156	0.1971278563
157	0.1963724521
158	0.1960092866
159	0.195644567
160	0.1953081045
161	0.1943706308
162	0.1938358668
163	0.1933001609
164	0.1928527581
165	0.1923799554
166	0.1918718628
167	0.1913367848
168	0.1907830258
169	0.1901278398
170	0.189613876
171	0.1891215132
172	0.1885822751
173	0.1881064898
174	0.1875123232
175	0.1869321909
176	0.1864092635
177	0.1859936184
178	0.1854573317
179	0.1850180292
180	0.1844196555
181	0.1838979525
182	0.1835261686
183	0.1832203806
184	0.1828123493
185	0.1825992757
186	0.1820718428
187	0.1815799823
188	0.1811865975
189	0.1806250678
190	0.1800553122
191	0.1796514252
192	0.1791710559
193	0.1788157396
194	0.1785693384
195	0.1782574124
196	0.1779384064
197	0.1775157913
198	0.1770742911
199	0.1766717856
200	0.1763223091
201	0.1762049326
202	0.175726918
203	0.1753603303
204	0.1750485142
205	0.174780151
206	0.1744951319
207	0.1740366618
208	0.1737046575
209	0.1732532988
210	0.1727095239
211	0.1725408138
212	0.1722586047
213	0.17186511
214	0.171624894
215	0.1712207402
216	0.1709277777
217	0.1706337163
218	0.1704541744
219	0.1701940843
220	0.1698205893
221	0.1692781802
222	0.169032454
223	0.1688750467
224	0.1686163851
225	0.1683969694
226	0.1681783857
227	0.167865188
228	0.1675552714
229	0.1671607092
230	0.1669646683
231	0.1667344835
232	0.166326044
233	0.1660489683
234	0.1657613275
235	0.1655629319
236	0.16530179
237	0.1648353608
238	0.1644949893
239	0.1642711781
240	0.1639952169
241	0.1636909516
242	0.1634442208
243	0.1629831761
244	0.1627852985
245	0.1624891807
246	0.1622130469
247	0.1619960016
248	0.1615413148
249	0.1612867504
250	0.1610284185
251	0.1608433979
252	0.1606915792
253	0.160477234
254	0.1601806609
255	0.1599493615
256	0.1597336506
257	0.1595191171
258	0.1593362
259	0.1590072098
260	0.1588911834
261	0.1585204199
262	0.1580726404
263	0.1577650627
264	0.1574117401
265	0.1571947263
266	0.1568701787
267	0.1566128672
268	0.1562494349
269	0.1560497048
270	0.1558342765
271	0.1556139032
272	0.1552070021
273	0.154915688
274	0.1546392716
275	0.15445232
276	0.154028088
277	0.1537934919
278	0.1534562758
279	0.153196641
280	0.1529902862
281	0.1526493182
282	0.152357439
283	0.1521312886
284	0.1519737558
285	0.1516465238
286	0.1515071539
287	0.1512345522
288	0.1509492662
289	0.1507259416
290	0.1504843284
291	0.150327031
292	0.1501085101
293	0.1499091254
294	0.1495949388
295	0.1494001067
296	0.1490526396
297	0.1488088286
298	0.1486617979
299	0.1483969041
300	0.1481675356
301	0.1480560303
302	0.1478765354
303	0.1475324278
304	0.1470930311
305	0.146938999
306	0.1467976982
307	0.1465196335
308	0.1463317557
309	0.1459844142
310	0.145751231
311	0.1455846088
312	0.1453542827
313	0.1451685713
314	0.1449423739
315	0.1446774016
316	0.1444989114
317	0.1442359642
318	0.1439741472
319	0.1436151104
320	0.1434224133
321	0.1433091183
322	0.1431210522
323	0.1429340064
324	0.1427440094
325	0.1425064778
326	0.1422180364
327	0.1420228746
328	0.1416789553
329	0.1413501064
330	0.1410295149
331	0.1407943851
332	0.140579569
333	0.1403833554
334	0.1401102827
335	0.1399505992
336	0.1397235541
337	0.1394843113
338	0.1392271097
339	0.1391359651
340	0.1388823427
341	0.138512317
342	0.1382864493
343	0.1380258568
344	0.1377805859
345	0.1375736974
346	0.1374109841
347	0.1372134048
348	0.1369944129
349	0.1367425173
350	0.136535566
351	0.1363418328
352	0.1362256651
353	0.1359447275
354	0.1358120922
355	0.1355439802
356	0.1352647695
357	0.1350025758
358	0.1348059226
359	0.1346752967
360	0.1343744066
361	0.1341314904
362	0.1339650409
363	0.1337736624
364	0.1335269316
365	0.1333258672
366	0.1330688696
367	0.1329126083
368	0.1325656907
369	0.1324240602
370	0.1321539388
371	0.1319141937
372	0.1316992363
373	0.1315386737
374	0.1313318323
375	0.13121528
376	0.1310795364
377	0.1309462339
378	0.1307650358
379	0.1306022675
380	0.1303765097
381	0.1302450204
382	0.1300855487
383	0.1298414788
384	0.1297052328
385	0.129616757
386	0.1294055515
387	0.1291992988
388	0.1289228431
389	0.1286765283
390	0.1285403766
391	0.1283279074
392	0.1281441112
393	0.1279608958
394	0.1278443435
395	0.1276870696
396	0.127553304
397	0.1272840461
398	0.1269859973
399	0.1267276497
400	0.1265422052
401	0.1263800727
402	0.1261678154
403	0.1259883049
404	0.1258072402
405	0.125609755
406	0.1254323245
407	0.1253105996
408	0.1251403432
409	0.1249165869
410	0.1247133404
411	0.1245334767
412	0.1243684871
413	0.12424042
414	0.124096372
415	0.1238746015
416	0.1237093137
417	0.1235941192
418	0.1233476709
419	0.1231980422
420	0.1230212004
421	0.1227390697
422	0.1225551715
423	0.1224466724
424	0.1223268391
425	0.1221975947
426	0.1219243964
427	0.121743371
428	0.1215735855
429	0.1214232896
430	0.1213061329
431	0.1210480207
432	0.1209042082
433	0.120727178
434	0.1205924705
435	0.1204727079
436	0.1203570739
437	0.1201600754
438	0.1200765131
439	0.1198770892
440	0.1196666215
441	0.119446256
442	0.1192701756
443	0.1190143004
444	0.1188926069
445	0.1187133475
446	0.1185651787
447	0.1184661928
448	0.1183233928
449	0.1181538272
450	0.118002974
451	0.1178273017
452	0.1176437802
453	0.1175065217
454	0.1173273094
455	0.1171272498
456	0.1169505492
457	0.1167110867
458	0.1165292057
459	0.1164216407
460	0.116258268
461	0.1161865737
462	0.1160437188
463	0.1158997571
464	0.11582373
465	0.1156596117
466	0.1155491503
467	0.1154351568
468	0.1152610386
469	0.1150667795
470	0.114888619
471	0.1146863223
472	0.1145576351
473	0.1144795359
474	0.1143574891
475	0.114222193
476	0.1140075417
477	0.1139024334
478	0.1138029059
479	0.1137002545
480	0.1135809
481	0.1134512395
482	0.1133274031
483	0.1131920442
484	0.1130465755
485	0.1129318284
486	0.1127492175
487	0.112648858
488	0.1124886799
489	0.1123492943
490	0.1121874601
491	0.1120505941
492	0.1118081568
493	0.1116114251
494	0.111552156
495	0.1114350935
496	0.1113412096
497	0.1112701039
498	0.1111903877
499	0.111043098
500	0.1109188378
501	0.1107612971
502	0.110661699
503	0.1105231925
504	0.1104140811
505	0.1102650097
506	0.1101700897
507	0.1100576974
508	0.1099953122
509	0.1097724742
510	0.1096776013
511	0.1095326192
512	0.1093819858
513	0.1092078283
514	0.1090712057
515	0.1088650236
516	0.1087736593
517	0.10859575
518	0.108501921
519	0.1083614993
520	0.1082661947
521	0.108161785
522	0.1079892916
523	0.1078493566
524	0.1077847893
525	0.1076600032
526	0.1074918425
527	0.1073917499
528	0.1072026084
529	0.1070872177
530	0.1069974389
531	0.1068592542
532	0.1067321997
533	0.1066282296
534	0.1065044482
535	0.1064242296
536	0.1062937136
537	0.1061617219
538	0.1060593295
539	0.1058664361
540	0.105791712
541	0.1056579464
542	0.1055398792
543	0.1054907669
544	0.1054066474
545	0.1053478885
546	0.1052259987
547	0.1051297286
548	0.1050864561
549	0.1050061512
550	0.1049073302
551	0.1047325291
552	0.1045706164
553	0.104479778
554	0.1043612084
555	0.1041872315
556	0.1040654124
557	0.1039402338
558	0.1038270409
559	0.1037437847
560	0.1035387801
561	0.1034518348
562	0.1033430688
563	0.1031998764
564	0.1029636791
565	0.1028777228
566	0.1027696633
567	0.102668095
568	0.1025769583
569	0.1023576603
570	0.1022503621
571	0.1020681201
572	0.1019101633
573	0.1017068306
574	0.1016246262
575	0.1014352021
576	0.101255566
577	0.1011502458
578	0.1010174535
579	0.1008943393
580	0.100817127
581	0.1006716269
582	0.1005357264
583	0.100426254
584	0.1003406352
585	0.1002377797
586	0.1001249871
587	0.09999335646
588	0.09989467668
589	0.09984875903
590	0.09968405202
591	0.09936619197
592	0.09925473374
593	0.0991220121
594	0.09892213296
595	0.0987919623
596	0.09874140579
597	0.09867094377
598	0.09853117358
599	0.09844068833
600	0.09837367996
601	0.09833054876
602	0.09820887876
603	0.09810205153
604	0.09802407787
605	0.09797699854
606	0.09782188321
607	0.09767910679
608	0.09754749188
609	0.09736440996
610	0.09707037215
611	0.09698532638
612	0.09691148923
613	0.09677905016
614	0.09667408319
615	0.09656932815
616	0.09647496541
617	0.09638906408
618	0.09611742781
619	0.09604927346
620	0.09596564054
621	0.09586180385
622	0.09569422404
623	0.09559826007
624	0.09552967401
625	0.09540185811
626	0.09533160017
627	0.0952399454
628	0.09510594435
629	0.09505572535
630	0.09500451736
631	0.09486494339
632	0.09481430054
633	0.0947384226
634	0.09459471212
635	0.09452829243
636	0.09436716464
637	0.09426875173
638	0.09421477298
639	0.0940966351
640	0.0939848629
641	0.09388608893
642	0.09382791872
643	0.09367920832
644	0.09356188676
645	0.09345535781
646	0.09336058691
647	0.09325998408
648	0.09320226128
649	0.09314223081
650	0.0930315418
651	0.0929439529
652	0.0928567957
653	0.09279954384
654	0.09267711247
655	0.09256265585
656	0.09248576537
657	0.09242212429
658	0.09230915902
659	0.09221762983
660	0.09209104624
661	0.09199509797
662	0.09190971469
663	0.0917769852
664	0.0916571519
665	0.09158635238
666	0.09150632222
667	0.09135768247
668	0.09125919107
669	0.09112785873
670	0.09099795495
671	0.09084626971
672	0.0907767025
673	0.0906408098
674	0.0905058433
675	0.09045509056
676	0.09032531236
677	0.09027647482
678	0.09020216671
679	0.09011693256
680	0.09002981461
681	0.08992591513
682	0.08987064911
683	0.08979094078
684	0.08970345391
685	0.0896145542
686	0.08958171326
687	0.08951312721
688	0.08939754031
689	0.08929999081
690	0.08917529102
691	0.08914840761
692	0.0890338882
693	0.08891637826
694	0.08883889909
695	0.088756836
696	0.08867462378
697	0.08857182318
698	0.08845499612
699	0.08837155158
700	0.0883149512
701	0.08823762117
702	0.08816115454
703	0.08808409137
704	0.08798756227
705	0.08784834151
706	0.08777563464
707	0.08771888513
708	0.08771108306
709	0.08758832986
710	0.08751546601
711	0.08748549002
712	0.08743043593
713	0.08733013137
714	0.08727393131
715	0.0871736032
716	0.08707333004
717	0.0869651763
718	0.08692932129
719	0.08683366344
720	0.08674885314
721	0.08662780322
722	0.08651041886
723	0.08643805735
724	0.08639720242
725	0.08635392994
726	0.08628091694
727	0.08621426963
728	0.08614810897
729	0.0860843266
730	0.08596109461
731	0.08585048409
732	0.08562665712
733	0.08550811893
734	0.08542012972
735	0.08529966064
736	0.0851864128
737	0.08514762219
738	0.08509833724
739	0.08499531687
740	0.08492232743
741	0.0847994251
742	0.08471123966
743	0.08463836796
744	0.08458318043
745	0.08451614066
746	0.08446703624
747	0.08439100132
748	0.08437356831
749	0.08432222688
750	0.08424770685
751	0.08416251979
752	0.08410203408
753	0.08404299261
754	0.0839630802
755	0.08387281473
756	0.08377940174
757	0.08368324154
758	0.08360017376
759	0.08351489252
760	0.08338803421
761	0.08323105863
762	0.08318295106
763	0.08306490737
764	0.08300387222
765	0.08290305746
766	0.08280462885
767	0.08270661625
768	0.08265995293
769	0.08256154786
770	0.08249895072
771	0.08237352096
772	0.08226463726
773	0.08215884613
774	0.08208752856
775	0.08197226348
776	0.08190753136
777	0.08184380394
778	0.08181352969
779	0.08178767452
780	0.08170253455
781	0.08156751311
782	0.08150374644
783	0.08134816802
784	0.08128539034
785	0.08117751133
786	0.08113005524
787	0.08106088835
788	0.08098300102
789	0.08090076525
790	0.08076206254
791	0.08065953667
792	0.0805711079
793	0.08052626559
794	0.0804654973
795	0.08033239106
796	0.08032507563
797	0.08024440185
798	0.08020770697
799	0.08012902688
800	0.08003781166
801	0.07997150971
802	0.0798375322
803	0.07973613661
804	0.07964507052
805	0.07956109224
806	0.07944848017
807	0.07930484034
808	0.07926871845
809	0.07923543012
810	0.07911748062
811	0.07906748925
812	0.07897707464
813	0.07892117284
814	0.07882224974
815	0.07873660743
816	0.07868846061
817	0.07858762231
818	0.07850190151
819	0.07842557617
820	0.07837438387
821	0.07827603375
822	0.07823240021
823	0.07818586247
824	0.07812765302
825	0.07805948297
826	0.07797636024
827	0.07790614941
828	0.07786387377
829	0.0777783492
830	0.07771608957
831	0.07764237015
832	0.0776088228
833	0.07752051962
834	0.07748128946
835	0.07738645577
836	0.07731449457
837	0.07722069697
838	0.07712226836
839	0.07706329754
840	0.07698591256
841	0.07690955582
842	0.07683939993
843	0.07672951153
844	0.07665952832
845	0.07661529039
846	0.07657004776
847	0.0765233138
848	0.07638516838
849	0.07634180956
850	0.07622198411
851	0.07615515627
852	0.07610627163
853	0.07605834459
854	0.07597716846
855	0.07591159648
856	0.07584067137
857	0.07576952648
858	0.07567825631
859	0.07559753544
860	0.07550990729
861	0.0754112589
862	0.07532665268
863	0.07525695989
864	0.07517677276
865	0.07508459209
866	0.07501040957
867	0.07497982135
868	0.07495198819
869	0.07486645577
870	0.07475654382
871	0.07465160825
872	0.07459820249
873	0.07452613925
874	0.07446714488
875	0.07444155658
876	0.07441484585
877	0.07430243786
878	0.07427349797
879	0.07418304412
880	0.07411915971
881	0.07403483607
882	0.07400303907
883	0.07390074867
884	0.07379735939
885	0.07371995086
886	0.07369714902
887	0.07356222961
888	0.07353113904
889	0.07345604602
890	0.07345125803
891	0.0733966121
892	0.07329133901
893	0.07320824768
894	0.07309791973
895	0.07303208088
896	0.07300610012
897	0.07294035547
898	0.07287831562
899	0.0728130733
900	0.07277761075
901	0.0727117876
902	0.07255828135
903	0.0724872228
904	0.07242226306
905	0.07229242207
906	0.07218884441
907	0.07212212645
908	0.07207394824
909	0.07197301574
910	0.07189851926
911	0.07184830026
912	0.07178476907
913	0.07168699979
914	0.07162668676
915	0.07149825861
916	0.0714567365
917	0.07139565425
918	0.0713472955
919	0.0712544869
920	0.07120236055
921	0.07114457495
922	0.0710560677
923	0.07094067703
924	0.07079772792
925	0.07072105722
926	0.0706582403
927	0.07063170225
928	0.07053481993
929	0.07048549574
930	0.07040982972
931	0.07037335463
932	0.07031954071
933	0.07018041414
934	0.07008929311
935	0.07004231582
936	0.07001480448
937	0.06997353354
938	0.06991212162
939	0.06985318219
940	0.06983294703
941	0.06977586001
942	0.06971458152
943	0.06964015568
944	0.06957814723
945	0.06957386943
946	0.06950202597
947	0.06948580958
948	0.06943737234
949	0.0694155124
950	0.06930883431
951	0.06925502824
952	0.06920987981
953	0.06914207867
954	0.06909016425
955	0.06900656272
956	0.06896982075
957	0.06896577058
958	0.0688827028
959	0.06882226418
960	0.06879639331
961	0.06873737539
962	0.06869773708
963	0.068631702
964	0.06858141236
965	0.06855434842
966	0.0684824814
967	0.06841954675
968	0.06829991753
969	0.06820144967
970	0.06811890779
971	0.06803696244
972	0.06799449842
973	0.06791749805
974	0.06783007398
975	0.06776857572
976	0.06773446322
977	0.06770258774
978	0.06760457514
979	0.06756736222
980	0.06750876815
981	0.06740088129
982	0.06736779704
983	0.06731519189
984	0.06723962792
985	0.06715196052
986	0.06712205518
987	0.06707496015
988	0.06701982757
989	0.06699861126
990	0.06693227007
991	0.06685101544
992	0.06682903776
993	0.06678377944
994	0.06669153598
995	0.06667046881
996	0.06661926081
997	0.06657990507
998	0.06656386136
999	0.06648751247
